id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
318875,HTGW,medium_airport,Songwe Airport,-8.919942,33.273981,4412,AF,TZ,TZ-14,Mbeya,yes,HTGW,MBI,NA,NA,https://en.wikipedia.org/wiki/Songwe_Airport,NA
3254,HTKJ,medium_airport,Kilimanjaro International Airport,-3.42941,37.074501,2932,AF,TZ,TZ-01,Arusha,yes,HTKJ,JRO,NA,http://www.kilimanjaroairport.co.tz/,https://en.wikipedia.org/wiki/Kilimanjaro_International_Airport,NA
3256,HTMT,medium_airport,Mtwara Airport,-10.339099884033203,40.181800842285156,371,AF,TZ,TZ-17,Mtwara,yes,HTMT,MYW,NA,NA,https://en.wikipedia.org/wiki/Mtwara_Airport,NA
3257,HTMW,medium_airport,Mwanza Airport,-2.4444899559020996,32.932701110839844,3763,AF,TZ,TZ-18,Mwanza,yes,HTMW,MWZ,NA,NA,https://en.wikipedia.org/wiki/Mwanza_Airport,NA
3259,HTTG,medium_airport,Tanga Airport,-5.092360019683838,39.07120132446289,129,AF,TZ,TZ-25,Tanga,yes,HTTG,TGT,NA,NA,https://en.wikipedia.org/wiki/Tanga_Airport,NA
3260,HTZA,large_airport,Abeid Amani Karume International Airport,-6.22202,39.224899,54,AF,TZ,TZ-07,Zanzibar,yes,HTZA,ZNZ,NA,NA,https://en.wikipedia.org/wiki/Zanzibar_International_Airport,"HTAK, Zanzibar Airport, Kiembi Samaki"
32234,HUAR,medium_airport,Arua Airport,3.047222,30.912222,3951,AF,UG,UG-N,Arua,yes,HUAR,RUA,NA,NA,https://en.wikipedia.org/wiki/Arua_Airport,NA
3263,HUEN,large_airport,Entebbe International Airport,0.042386,32.443501,3782,AF,UG,UG-C,Kampala,yes,HUEN,EBB,NA,https://entebbe-airport.com/,https://en.wikipedia.org/wiki/Entebbe_International_Airport,NA
3264,HUGU,medium_airport,Gulu Airport,2.8055601119995117,32.27180099487305,3510,AF,UG,UG-N,Gulu,yes,HUGU,ULU,NA,NA,https://en.wikipedia.org/wiki/Gulu_Airport,NA
3265,HUSO,medium_airport,Soroti Airport,1.7276899814605713,33.622798919677734,3697,AF,UG,UG-E,Soroti,yes,HUSO,SRT,NA,NA,https://en.wikipedia.org/wiki/Soroti_Airport,NA
309298,ID-0017,large_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374448,117.249392,73,AS,ID,ID-KI,Samarinda,yes,WALS,AAP,NA,http://www.proyek.dishubprovkaltim.info/?pro=1,https://en.wikipedia.org/wiki/Samarinda_International_Airport,"Sungai Siring Airport, فرودگاه سیرینگ"
29639,ID-ZGP,medium_airport,Bilogai-Sugapa Airport,-3.73956,137.031998,7348,AS,ID,ID-PA,Sugapa-Papua Island,yes,WABV,UGU,ZGP,NA,NA,"Zugapa, Bilorai, ZGP"
44517,IQ-0024,medium_airport,Jalibah Southeast Air Base,30.546518325805664,46.602779388427734,NA,AS,IQ,IQ-BA,NA,yes,NA,NA,NA,NA,NA,NA
327608,ISG,medium_airport,New Ishigaki Airport,24.396389,124.245,102,AS,JP,JP-47,Ishigaki,yes,ROIG,ISG,NA,NA,https://en.wikipedia.org/wiki/New_Ishigaki_Airport,NA
300865,JIQ,medium_airport,Qianjiang Wulingshan Airport,29.5133333333,108.831111111,2075,AS,CN,CN-50,Qianjiang,yes,ZUQJ,JIQ,NA,NA,https://en.wikipedia.org/wiki/Qianjiang_Wulingshan_Airport,Zhoubai
323221,JJD,medium_airport,Comandante Ariston Pessoa Airport,-2.906425,-40.357338,89,SA,BR,BR-CE,Jijoca de Jericoacoara,yes,SBJE,JJD,CE0003,NA,https://en.wikipedia.org/wiki/Jericoacoara_airport,"SSVV, Jericoacoara"
3356,KABE,medium_airport,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393,NA,US,US-PA,Allentown,yes,KABE,ABE,ABE,NA,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,NA
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,NA,US,US-TX,Abilene,yes,KABI,ABI,ABI,NA,https://en.wikipedia.org/wiki/Abilene_Regional_Airport,NA
16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,NA
3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,NA,US,US-SD,Aberdeen,yes,KABR,ABR,ABR,NA,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,NA
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197,NA,US,US-GA,Albany,yes,KABY,ABY,ABY,NA,https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,NA
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA,Nantucket,yes,KACK,ACK,ACK,NA,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,NA
3361,KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.230499267578125,516,NA,US,US-TX,Waco,yes,KACT,ACT,ACT,NA,https://en.wikipedia.org/wiki/Waco_Regional_Airport,NA
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,US,US-CA,Arcata/Eureka,yes,KACV,ACV,ACV,NA,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata Airport
3363,KACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75,NA,US,US-NJ,Atlantic City,yes,KACY,ACY,ACY,NA,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,NA
3365,KAEX,medium_airport,Alexandria International Airport,31.32740020751953,-92.54979705810547,89,NA,US,US-LA,Alexandria,yes,KAEX,AEX,AEX,NA,https://en.wikipedia.org/wiki/Alexandria_International_Airport,NA
3368,KAGS,large_airport,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,144,NA,US,US-GA,Augusta,yes,KAGS,AGS,AGS,NA,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,NA
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808,NA,US,US-GA,Athens,yes,KAHN,AHN,AHN,NA,https://en.wikipedia.org/wiki/Athens-Ben_Epps_Airport,NA
3371,KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285,NA,US,US-NY,Albany,yes,KALB,ALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,NA
3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671875,-92.400299072265625,873,NA,US,US-IA,Waterloo,yes,KALO,ALO,ALO,NA,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,NA
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,NA,US,US-CO,Alamosa,yes,KALS,ALS,ALS,https://www.sanluisvalleyairport.org/,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport,NA
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,US,US-WA,Walla Walla,yes,KALW,ALW,ALW,NA,https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport,NA
3377,KAMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,NA,US,US-TX,Amarillo,yes,KAMA,AMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,NA
3380,KAOO,medium_airport,Altoona Blair County Airport,40.29639816,-78.31999969,1503,NA,US,US-PA,Altoona,yes,KAOO,AOO,AOO,NA,https://en.wikipedia.org/wiki/Altoona-Blair_County_Airport,NA
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,yes,KAPN,APN,APN,NA,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,NA
3383,KART,medium_airport,Watertown International Airport,43.99190139770508,-76.021697998046875,325,NA,US,US-NY,Watertown,yes,KART,ART,ART,NA,https://en.wikipedia.org/wiki/Watertown_International_Airport,NA
19308,KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,NA,US,US-CO,Aspen,yes,KASE,ASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,NA
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,US,US-GA,Atlanta,yes,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,NA
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,NA,US,US-SD,Watertown,yes,KATY,ATY,ATY,NA,https://en.wikipedia.org/wiki/Watertown_Regional_Airport,NA
19321,KAUG,medium_airport,Augusta State Airport,44.320598602299995,-69.7973022461,352,NA,US,US-ME,Augusta,yes,KAUG,AUG,AUG,NA,https://en.wikipedia.org/wiki/Augusta_State_Airport,NA
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.194499969482422,-97.6698989868164,542,NA,US,US-TX,Austin,yes,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,NA
3387,KAVL,large_airport,Asheville Regional Airport,35.436199,-82.541801,2165,NA,US,US-NC,Asheville,yes,KAVL,AVL,AVL,NA,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,NA
3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,962,NA,US,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,AVP,http://www.flyavp.com/,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport,NA
3390,KAZO,medium_airport,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874,NA,US,US-MI,Kalamazoo,yes,KAZO,AZO,AZO,NA,https://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport,NA
3396,KBDL,large_airport,Bradley International Airport,41.9388999939,-72.68319702149999,173,NA,US,US-CT,Hartford,yes,KBDL,BDL,BDL,http://www.bradleyairport.com/,https://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford"
3397,KBDR,medium_airport,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9,NA,US,US-CT,Bridgeport,yes,KBDR,BDR,BDR,NA,https://en.wikipedia.org/wiki/Sikorsky_Memorial_Airport,NA
3399,KBFD,medium_airport,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143,NA,US,US-PA,Bradford,yes,KBFD,BFD,BFD,NA,https://en.wikipedia.org/wiki/Bradford_Regional_Airport,NA
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,NA,US,US-NE,Scottsbluff,yes,KBFF,BFF,BFF,NA,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,William B. Heilig Field
3401,KBFI,large_airport,Boeing Field King County International Airport,47.529998779296875,-122.302001953125,21,NA,US,US-WA,Seattle,yes,KBFI,BFI,BFI,NA,https://en.wikipedia.org/wiki/Boeing_Field,NA
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,US,US-NY,Binghamton,yes,KBGM,BGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field"
3405,KBGR,large_airport,Bangor International Airport,44.80739974975586,-68.8281021118164,192,NA,US,US-ME,Bangor,yes,KBGR,BGR,BGR,NA,https://en.wikipedia.org/wiki/Bangor_International_Airport,NA
19373,KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,NA,US,US-ME,Bar Harbor,yes,KBHB,BHB,BHB,NA,https://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport,NA
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650,NA,US,US-AL,Birmingham,yes,KBHM,BHM,BHM,http://www.flybirmingham.com/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),NA
3408,KBIL,large_airport,Billings Logan International Airport,45.807701110839844,-108.54299926757812,3652,NA,US,US-MT,Billings,yes,KBIL,BIL,BIL,NA,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport,NA
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,1661,NA,US,US-ND,Bismarck,yes,KBIS,BIS,BIS,http://bismarckairport.com/,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,NA
3415,KBKW,medium_airport,Raleigh County Memorial Airport,37.787300109899995,-81.1241989136,2504,NA,US,US-WV,Beckley,yes,KBKW,BKW,BKW,NA,https://en.wikipedia.org/wiki/Beckley_Raleigh_County_Memorial_Airport,NA
19387,KBLF,medium_airport,Mercer County Airport,37.295799255371094,-81.20770263671875,2857,NA,US,US-WV,Bluefield,yes,KBLF,BLF,BLF,NA,https://en.wikipedia.org/wiki/Mercer_County_Airport_(West_Virginia),NA
3416,KBLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170,NA,US,US-WA,Bellingham,yes,KBLI,BLI,BLI,NA,https://en.wikipedia.org/wiki/Bellingham_International_Airport,NA
3417,KBLV,large_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,NA,US,US-IL,Belleville,yes,KBLV,BLV,BLV,NA,https://en.wikipedia.org/wiki/Scott_Air_Force_Base,Scott Air Force Base
3419,KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871,NA,US,US-IL,Bloomington/Normal,yes,KBMI,BMI,BMI,NA,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,NA
3420,KBNA,large_airport,Nashville International Airport,36.1245002746582,-86.6781997680664,599,NA,US,US-TN,Nashville,yes,KBNA,BNA,BNA,NA,https://en.wikipedia.org/wiki/Nashville_International_Airport,NA
3421,KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,NA,US,US-ID,Boise,yes,KBOI,BOI,BOI,http://www.cityofboise.org/departments/airport/,https://en.wikipedia.org/wiki/Boise_Airport,"Boise Air Terminal, Gowen Field"
3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,NA,US,US-MA,Boston,yes,KBOS,BOS,BOS,http://www.massport.com/logan/,https://en.wikipedia.org/wiki/Logan_International_Airport,General Edward Lawrence Logan International Airport
